Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
Briante Weber,REG,19,25.6,11.7,4.7,9.1,0.52,0.5,1.4,0.385,1.7,2.3,0.727,0.7,3.6,4.4,4.1,2.2,0,2,2.5,Italian Lega Basket,SG
Jamar Smith,REG,18,21.2,11.2,4.2,8.9,0.472,1.9,5.2,0.362,0.9,1.1,0.842,0.1,1.2,1.3,2.3,0.7,0.1,1.1,1.9,Italian Lega Basket,SG
Tommaso Baldasso,TORT,19,22.1,10.6,3.4,9.2,0.374,2.4,6.6,0.368,1.4,1.7,0.813,0.4,2.6,2.9,1.7,0.5,0,0.9,2.1,Italian Lega Basket,SG
Gerald Robinson,SCAF,17,27.4,10.6,4.1,9.1,0.445,1.2,3.3,0.375,1.2,1.5,0.808,0.3,1.9,2.2,5.3,1.4,0.2,2.1,2.9,Italian Lega Basket,SG
Wayne McCullough,CRE,19,21.4,10.5,3.8,8.3,0.462,1.9,5.2,0.378,0.9,1.5,0.607,0.8,2.1,2.9,0.9,1.1,0.1,1.7,2.5,Italian Lega Basket,SG
Gabriel Lundberg,BOL,15,18.7,10.1,3.5,6.5,0.536,1.5,3.7,0.418,1.6,1.7,0.923,0.7,2.5,3.1,2.4,0.7,0,1.1,1.3,Italian Lega Basket,SG
Trevor Lacey,CRE,19,22.5,10.1,3.8,8.6,0.439,1.4,4.4,0.321,1.1,1.4,0.741,0.5,2.3,2.8,3.6,0.6,0.2,1.3,1.7,Italian Lega Basket,SG
James Young,TREV,7,21.4,9.7,3,8.7,0.344,1.7,5.1,0.333,2,2.9,0.7,0.3,2.1,2.4,0.6,0.6,0,0.9,1.6,Italian Lega Basket,SG
"Barry Brown, Jr.",VEN,14,19.4,9.6,3.7,9.2,0.403,1.1,3.6,0.294,1.1,1.5,0.714,0.3,1.8,2.1,1.4,0.6,0.1,1.4,0.7,Italian Lega Basket,SG
Justin Jaworski,NAP,12,24,9.3,3.3,7.8,0.426,2,5.9,0.338,0.7,0.8,0.889,0.2,1.8,1.9,1.3,0.4,0,0.8,2.6,Italian Lega Basket,SG
Riccardo Visconti,PES,19,18.9,8.6,2.5,6.8,0.364,1.4,4.2,0.329,2.3,2.5,0.917,0.3,1.5,1.8,1.3,0.6,0.2,1.1,2.5,Italian Lega Basket,SG
Jordan Parks,VEN,11,24,8.5,3.2,6.7,0.473,0.5,1.9,0.238,1.7,1.9,0.905,0.2,4.4,4.5,1.9,1.4,0.5,1.2,2.4,Italian Lega Basket,SG
John Petrucelli,BRE,18,22.9,8.2,3,7.4,0.403,1.1,3.4,0.323,1.1,1.4,0.8,0.4,3.1,3.5,1.2,1.6,0.4,1.1,2.9,Italian Lega Basket,SG
Devon Hall,MIL,17,24.2,7.9,2.8,6.5,0.432,0.8,2.5,0.302,1.5,1.6,0.893,0.6,2.9,3.6,1.8,0.5,0.4,0.8,1.8,Italian Lega Basket,SG
Stanley Whittaker,SAS,10,23.2,7.8,2.9,7.4,0.392,0.8,2.1,0.381,1.2,1.8,0.667,0.1,1.4,1.5,3.6,0.9,0.1,2.1,2.7,Italian Lega Basket,SG
Awudu Abass,BOL,18,18.1,7.6,2.6,5.7,0.447,1.5,3.6,0.415,0.9,1.3,0.708,0.4,1.8,2.2,0.3,0.8,0.3,0.8,1,Italian Lega Basket,SG
Matteo Tambone,PES,18,24.7,7.4,2.6,7.6,0.338,1.1,3.8,0.294,1.2,1.4,0.808,0.4,1.8,2.2,2.8,0.6,0,2.1,3.3,Italian Lega Basket,SG
Stefano Tonut,MIL,18,20.8,7,2.6,5.3,0.495,0.4,1.9,0.235,1.3,1.9,0.706,0.5,2.9,3.4,1.7,1.1,0.1,0.5,0.9,Italian Lega Basket,SG
Daniel Hackett,BOL,19,19.4,6.7,2.3,4.5,0.5,0.9,1.9,0.472,1.3,1.7,0.727,0.6,2.4,3,3.5,0.8,0,1.2,2.6,Italian Lega Basket,SG
Alessandro Pajola,BOL,15,19.3,6.5,2.2,4.9,0.452,1,2.9,0.349,1.1,1.8,0.63,0.6,1.9,2.5,4,1.3,0.4,1.2,2,Italian Lega Basket,SG
Quinn Ellis,TREN,18,21.8,6.2,2,5.7,0.353,0.8,2.6,0.304,1.4,2.1,0.676,0.8,2.3,3.1,2.9,0.8,0.2,1.8,2.4,Italian Lega Basket,SG
Diego Flaccadori,MIL,18,18.3,6.1,1.8,5.2,0.344,0.8,2.3,0.333,1.7,2.1,0.816,0.3,1.1,1.4,1.8,0.7,0.2,1.2,2.1,Italian Lega Basket,SG
