Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
Elijah Long,PER,17,18.5,9.5,3.3,6.9,0.475,1.1,2.6,0.432,1.8,2.2,0.816,0.3,2.1,2.4,2,1.2,0.2,1.5,2.2,Greek HEBA A1,PG
Luca Vildoza,PAN,12,20.2,7.8,2.6,5.7,0.456,1.5,3.5,0.429,1.1,1.4,0.765,0.2,1.1,1.3,2.7,1.3,0.2,2.1,1.5,Greek HEBA A1,PG
Marek Klassen,KARD,12,25.3,7.4,2.3,8.2,0.286,1.6,5.4,0.292,1.2,1.8,0.667,0.6,2.6,3.2,5.1,0.8,0,3.3,2.6,Greek HEBA A1,PG
Marcus Carr,ARI,10,22.4,7.4,3,7.6,0.395,0.2,1.9,0.105,1.2,1.5,0.8,0,1.5,1.5,1.8,0.5,0,1.7,2.1,Greek HEBA A1,PG
Paul Jorgensen,KOL,10,18.9,7.3,2.6,7.9,0.329,1.3,3.6,0.361,0.8,1,0.8,1.4,1.9,3.3,1,0.2,0.1,0.9,1.7,Greek HEBA A1,PG
Iosif Koloveros,KOL,12,19,7.2,2.8,6.4,0.429,0.5,1.8,0.286,1.2,1.7,0.7,0.2,1.8,2,2.3,0.6,0,1.4,2.3,Greek HEBA A1,PG
Lefteris Bochoridis,ARI,14,24.7,7.1,2.4,6.9,0.354,1,3.8,0.264,1.2,1.5,0.81,0.8,2.9,3.6,2.6,0.7,0.1,1.4,3,Greek HEBA A1,PG
Kostas Sloukas,PAN,11,17.2,6.2,1.7,5,0.345,1,3.1,0.324,1.7,1.8,0.95,0,1.5,1.5,4.2,0.8,0,1.2,1.2,Greek HEBA A1,PG
Antonios Koniaris,PROM,16,17.6,5.8,1.9,5.1,0.366,1.1,2.8,0.378,1,1.1,0.889,0.1,0.9,1.1,2.9,0.8,0.1,1.3,2.8,Greek HEBA A1,PG
Alexandros Nikolaidis,MAR,17,19.9,5.6,2.2,4.8,0.451,0.7,2.1,0.333,0.5,0.9,0.6,0.5,1.8,2.4,2.1,1,0.1,1.6,2.8,Greek HEBA A1,PG
Gerel Simmons,KOL,4,15.1,5.3,2,6.8,0.296,0.8,2.3,0.333,0.5,0.5,1,0.5,0.8,1.3,0.8,0.3,0,2,2.3,Greek HEBA A1,PG
Stefan Peno,MAR,7,19.3,4.9,1.6,4,0.393,0.9,3,0.286,0.9,0.9,1,0.1,1.4,1.6,3.4,0.3,0,2,2.6,Greek HEBA A1,PG
Dimitris Moraitis,PAN,11,10.2,4.5,1.5,2.5,0.571,1.1,1.5,0.706,0.5,0.5,1,0.1,0.9,1,1.4,0.9,0.1,1,1.6,Greek HEBA A1,PG
Michail Lountzis,OLY,14,15.1,4.1,1.4,3.6,0.392,0.4,1.7,0.25,0.9,1.6,0.545,0.6,2.2,2.8,2.2,1.1,0.2,1.4,1.5,Greek HEBA A1,PG
Zois Karampelas,ATH,16,16,3.5,1.2,3.7,0.322,0.3,1.6,0.16,0.9,1.4,0.609,0.7,1.2,1.9,4.8,0.6,0,1.8,2.4,Greek HEBA A1,PG
Nikolaos Tsiakmas,PAOK,17,12.5,3.2,1.2,3.6,0.344,0.4,2.1,0.167,0.4,0.4,0.857,0,1.1,1.1,0.8,0.6,0,1.1,1.6,Greek HEBA A1,PG
Athanasios Bazinas,PROM,16,11.6,3,1.1,2.4,0.474,0.4,1.2,0.368,0.3,0.4,0.833,0,0.7,0.7,1.6,0.4,0.1,0.8,1.5,Greek HEBA A1,PG
Orfeas Stasinos,MAR,15,13.4,2.7,0.8,2.6,0.308,0.5,1.9,0.25,0.6,0.7,0.818,0.5,1.1,1.6,1.7,0.7,0,0.7,1.9,Greek HEBA A1,PG
Nikolaos Kamarianos,KOL,15,11.6,2.5,0.9,2.1,0.419,0.3,1,0.267,0.5,0.7,0.636,0.6,1.9,2.5,0.8,0.3,0.3,0.7,1.9,Greek HEBA A1,PG
Langston Hall,ATH,14,16.6,2.2,0.8,2.8,0.282,0.1,1.1,0.125,0.5,0.6,0.875,0.1,1.3,1.4,3.7,0.6,0.1,1.4,2.2,Greek HEBA A1,PG
Nikos Arsenopoulos,PAOK,10,6,0.5,0.2,1.6,0.125,0.1,1.2,0.083,0,0,0,0.1,0.3,0.4,0,0.1,0,0.4,1.5,Greek HEBA A1,PG
Vassilis Xanthopoulos,PER,15,9.6,0.3,0.1,1.5,0.091,0,0.5,0,0,0.1,0,0.1,0.7,0.8,1.5,0.8,0,0.6,1.3,Greek HEBA A1,PG
Hunter Hale,PROM,15,27,18.6,6.1,14.1,0.429,3.3,8.1,0.41,3.1,3.5,0.887,0.2,4.2,4.4,3.9,1.1,0,2.3,2.3,Greek HEBA A1,SG
Andrew Goudelock,KOL,12,26.3,16.8,5.9,11.6,0.511,2,5.2,0.387,2.9,3.3,0.897,0.2,2.5,2.7,2.3,0.4,0.1,1.5,1.6,Greek HEBA A1,SG
Roberto Gallinat,ARI,16,25.4,15.3,4.7,10.9,0.431,2.1,5.7,0.374,3.8,4.8,0.803,0.4,2.3,2.6,0.8,0.7,0.3,1.6,3.8,Greek HEBA A1,SG
Isaiah Briscoe,MAR,15,30.2,14.5,5.1,10.9,0.466,0.5,2.3,0.229,3.8,6.1,0.626,0.5,1.7,2.1,5.6,1.3,0.1,3.2,3.7,Greek HEBA A1,SG
Jordan McRae,ATH,16,25.8,13.1,4.8,10.9,0.437,0.9,3.9,0.226,2.7,3.3,0.811,0.8,2.4,3.2,2.1,1.1,0.4,1.6,2.7,Greek HEBA A1,SG
Andrew Harrison,PAOK,16,28.7,12.8,3.4,9.8,0.35,0.9,4.1,0.215,5.1,6,0.844,0.6,3,3.6,3.1,0.6,0.3,1.5,2.9,Greek HEBA A1,SG
Kendrick Nunn,PAN,12,21.8,12.8,4.8,8.9,0.542,1.6,3.3,0.475,1.5,1.5,1,0.4,2.1,2.5,3.4,0.8,0.3,2.1,1.3,Greek HEBA A1,SG
Jaylen Hands,PER,9,20.8,12,4.4,10,0.444,1.4,4.3,0.333,1.7,2,0.833,0.4,2.6,3,1.8,0.8,0,2.3,0.8,Greek HEBA A1,SG
Kenny Williams,PER,17,22.9,10.9,3.9,8.5,0.462,1.8,4.8,0.37,1.2,1.6,0.778,0.8,1.5,2.4,0.8,0.7,0.1,0.7,2.2,Greek HEBA A1,SG
Marcus Thornton,LAV,17,29.4,10.9,3.7,9,0.412,1.7,4.7,0.363,1.8,2.3,0.769,0.4,2,2.4,2.8,1,0.2,1.8,1.9,Greek HEBA A1,SG
Shaq Buchanan,KARD,17,23.1,8.8,3.4,7.6,0.438,0.4,1.9,0.182,1.8,2.5,0.714,0.5,2.3,2.8,2.3,1.2,0.2,2.2,1.6,Greek HEBA A1,SG
Laurynas Beliauskas,PAOK,14,23.2,8.6,2.5,5.7,0.438,1.6,4.3,0.367,2.1,2.4,0.879,0.5,2.4,2.9,0.7,0.6,0.1,0.9,1.8,Greek HEBA A1,SG
Omer Netzipoglou,ATH,17,19.1,8.2,3.1,5.8,0.541,0.9,2.1,0.444,1.1,1.5,0.692,0.4,1.8,2.2,1.2,0.6,0.4,0.8,1.8,Greek HEBA A1,SG
Ronnie Harrell,ARI,16,25.6,7.9,3.1,7.3,0.419,1,3.3,0.302,0.8,1.4,0.565,1.1,4.5,5.6,1.6,1.9,0.2,1.3,2.6,Greek HEBA A1,SG
Jerian Grant,PAN,17,22.3,7.8,2.7,5.5,0.495,0.9,2.4,0.4,1.4,1.7,0.828,0.4,1.7,2.1,3.2,0.8,0.1,1.1,1.4,Greek HEBA A1,SG
Thomas Walkup,OLY,17,22.2,7.4,2.8,5.1,0.547,0.9,2.4,0.375,1,1.5,0.68,0.7,2.5,3.2,4.5,0.8,0.2,1.8,1.8,Greek HEBA A1,SG
Jordan Sibert,KARD,16,17.2,6.6,2.2,5.8,0.376,0.9,3.7,0.237,1.4,1.6,0.846,0.3,1.6,1.9,0.9,0.9,0,0.8,1.7,Greek HEBA A1,SG
Vasilis Mouratos,APO,11,28.5,6.5,1.9,7.4,0.259,0.6,3.1,0.206,2,4.5,0.449,0.5,2.2,2.7,5.3,1.7,0.1,1.9,3.4,Greek HEBA A1,SG
Nikolaos Diplaros,KARD,16,22,6.3,1.8,5.5,0.33,0.9,3.5,0.268,1.8,2.6,0.683,0.2,2,2.2,3.4,1,0.1,2.4,2.6,Greek HEBA A1,SG
Thodoris Zaras,LAV,13,14.7,5.2,2,5.4,0.371,1.2,3.7,0.313,0.1,0.2,0.5,0.1,0.8,0.8,0.5,0.2,0,0.7,2.5,Greek HEBA A1,SG
Andreas Petropoulos,KOL,14,16.3,5.1,1.8,4.1,0.431,0.9,2.6,0.351,0.6,0.9,0.692,0.6,1.3,1.9,0.6,0.2,0,0.3,2.4,Greek HEBA A1,SG
Sotiris Billis,KOL,15,13.5,4.7,1.5,3,0.511,0.5,1.5,0.364,1.1,1.5,0.739,0.7,1.3,1.9,1,0.2,0,0.5,1.7,Greek HEBA A1,SG
Kostas Papadakis,LAV,10,15,3.7,1.2,4.3,0.279,0.9,3.6,0.25,0.4,0.7,0.571,0.4,1.1,1.5,2.2,0.5,0,1.9,2.4,Greek HEBA A1,SG
Stelios Poulianitis,PER,15,11.7,3.6,1.2,2.7,0.439,0.7,1.6,0.417,0.5,0.7,0.8,0.2,0.7,0.9,0.5,0.5,0,0.4,1.3,Greek HEBA A1,SG
Dimitris Flionis,ATH,12,14,3.6,1.2,3.5,0.333,0.7,1.9,0.348,0.6,0.8,0.778,0.3,1,1.3,2.8,0.5,0,1.1,2.3,Greek HEBA A1,SG
Tilemachos Vissariou,APO,13,9,1.8,0.7,1.8,0.375,0.4,1.1,0.357,0.1,0.2,0.333,0.2,0.5,0.6,0.3,0.1,0,0.2,1.6,Greek HEBA A1,SG
Christos Iordanou,MAR,12,10.2,1.6,0.6,1.8,0.333,0.1,0.5,0.167,0.3,0.5,0.667,0.5,1.3,1.8,0.1,0.3,0,0.3,1.8,Greek HEBA A1,SG
Nikolaos Plotas,PROM,14,7.2,1,0.4,1.3,0.333,0,0.2,0,0.1,0.2,0.667,0.1,0.6,0.6,0.3,0.5,0.1,0.2,1,Greek HEBA A1,SG
Christos Kafezas,APO,10,2.9,0.8,0.3,0.4,0.75,0.1,0.2,0.5,0.1,0.1,1,0.1,0.5,0.6,0.1,0,0.1,0.2,0.2,Greek HEBA A1,SG
Ahmed Hill,MAR,17,25.5,11.9,4,9.1,0.439,1.8,4.8,0.383,2.1,2.5,0.857,0.6,2.2,2.9,1.4,0.6,0.1,1.7,2.4,Greek HEBA A1,SF
Charis Giannopoulos,MAR,16,24.7,11.4,3.9,8.8,0.443,1.8,4.5,0.389,1.9,2.1,0.912,0.4,3.1,3.5,1.1,0.8,0,1.2,1.6,Greek HEBA A1,SF
Jericole Hellems,LAV,8,21,10.8,3.8,7.1,0.526,1,2.1,0.471,2.3,2.6,0.857,1,1.9,2.9,0.5,0.6,0.4,1.8,2.9,Greek HEBA A1,SF
Marius Grigonis,PAN,16,20.6,9.8,3.1,5.8,0.527,1.6,3.5,0.464,2.1,2.3,0.892,0.4,1.9,2.4,1.5,0.7,0,0.8,1.4,Greek HEBA A1,SF
Ben McLemore,ATH,7,18.9,9.7,3,6.7,0.447,1.7,4,0.429,2,2.6,0.778,0.9,3,3.9,0.4,0.4,0.1,0.9,2.4,Greek HEBA A1,SF
Daniel Utomi,KOL,16,23.4,8.8,2.9,6.7,0.439,1.7,4.2,0.403,1.2,1.8,0.679,0.8,3.3,4.1,0.6,0.4,0.1,0.8,1.9,Greek HEBA A1,SF
Giannoulis Larentzakis,OLY,16,17.9,8,2.6,6.6,0.387,1.4,4.2,0.343,1.4,1.8,0.821,0.3,1.7,1.9,1.9,0.6,0,1.8,1.9,Greek HEBA A1,SF
Panagiotis Kalaitzakis,PAN,17,16.6,7.7,2.8,5.5,0.511,0.6,2.4,0.268,1.4,2.2,0.649,0.8,1.2,1.9,0.9,1,0.3,1.1,2,Greek HEBA A1,SF
Nate Renfro,PER,17,20.7,7.1,3.2,4.3,0.753,0,0.1,0,0.6,1.9,0.313,2.1,2.9,5,1.2,1.1,0.9,1,3.1,Greek HEBA A1,SF
Ismael Sanogo,ARI,12,20.1,6.9,2.4,5.2,0.468,0.8,1.9,0.435,1.3,1.3,0.938,1.4,3.4,4.8,0.8,1.2,0.3,0.9,2.5,Greek HEBA A1,SF
Arturs Kurucs,PROM,4,22.3,6.8,1.8,5.8,0.304,1.3,4,0.313,2,2,1,0.3,1.3,1.5,1,0.8,0,0,2,Greek HEBA A1,SF
Marko Lukovic,MAR,8,19.7,6.8,2.1,6.1,0.347,0.6,2.9,0.217,1.9,2.5,0.75,0.4,2.5,2.9,0.9,0.4,0,1.1,1.6,Greek HEBA A1,SF
Nemanja Dangubic,PER,17,20.3,6.6,2.2,4.9,0.458,0.9,2.4,0.39,1.2,1.6,0.778,1.2,2.4,3.6,0.5,0.8,0.2,0.5,2.1,Greek HEBA A1,SF
Ignas Brazdeikis,OLY,16,17.7,6.5,2.3,5.8,0.398,0.8,2.5,0.3,1.1,1.4,0.783,0.4,2.6,2.9,1.3,0.5,0.1,1,1.6,Greek HEBA A1,SF
Tre'Darius McCallum,KARD,10,19.2,5.2,2.1,5,0.42,0.6,2,0.3,0.4,1.1,0.364,0.4,2.5,2.9,1.1,1,0.2,1.4,2.3,Greek HEBA A1,SF
Georgios Kamperidis,KARD,16,15.4,4.9,1.6,4.9,0.316,1.3,3.9,0.339,0.5,0.8,0.667,0.3,1.5,1.8,0.4,1.1,0.1,0.2,2.3,Greek HEBA A1,SF
Christos Saloustros,APO,14,24.8,4.7,1.6,4.7,0.348,1.1,3.1,0.349,0.4,0.6,0.625,0.7,3.6,4.3,1.3,0.8,0.1,0.9,2.4,Greek HEBA A1,SF
Linos Chrysikopoulos,PROM,15,12,4.7,1.8,3.9,0.458,0.9,2.1,0.406,0.2,0.3,0.75,0.7,1.3,2,0.5,0.4,0.1,0.5,1.9,Greek HEBA A1,SF
Delaney Blaylock,APO,12,16.8,4.3,1.7,5.3,0.313,0.8,3.2,0.263,0.1,0.5,0.167,0.8,1.3,2.1,0.4,0.9,0.1,0.5,2.1,Greek HEBA A1,SF
Dimitrios Katsivelis,ARI,13,16.9,3.4,1.1,3.8,0.286,0,0.9,0,1.2,1.7,0.727,0.3,1.2,1.5,1.7,0.7,0.2,1.2,2.5,Greek HEBA A1,SF
Stavros Schizas,PAOK,14,17.1,3,1.1,3.1,0.372,0.4,1.5,0.238,0.4,0.5,0.714,0.8,1.7,2.5,0.9,0.6,0.1,0.5,3.2,Greek HEBA A1,SF
George Papas,OLY,10,7.3,2.9,0.9,2.4,0.375,0.4,1.5,0.267,0.7,1,0.7,0,0.9,0.9,0.5,0.1,0.1,0.7,0.8,Greek HEBA A1,SF
Nikos Persidis,ARI,11,9.7,1.3,0.5,1.5,0.375,0.2,0.7,0.25,0,0,0,0.2,0.5,0.7,0.3,0.6,0,0.6,1.4,Greek HEBA A1,SF
Minas Papagiannis,KOL,10,3.3,0.6,0.2,0.4,0.5,0,0,0,0.2,0.3,0.667,0.3,1,1.3,0,0,0.1,0.7,0.8,Greek HEBA A1,SF
Justin Alston,PAOK,10,25.5,15.9,6.6,11.4,0.579,1.2,2.4,0.5,1.5,2.4,0.625,3.4,4.9,8.3,0.6,0.6,0.3,1.8,2.9,Greek HEBA A1,PF
Justin Tillman,ATH,17,21.3,15.5,6.4,11.6,0.551,0.1,0.1,0.5,2.6,3.2,0.833,3.3,2.1,5.4,0.3,0.4,0.3,1.6,2.2,Greek HEBA A1,PF
Mindaugas Kuzminskas,ATH,10,21.5,14.6,4.8,8.3,0.578,2,3.7,0.541,3,3.9,0.769,1.2,3,4.2,1.8,0.9,0.4,0.7,1.9,Greek HEBA A1,PF
Alec Peters,OLY,16,26.1,14.5,5.1,9.4,0.536,1.9,3.7,0.525,2.4,2.6,0.929,1.6,4.6,6.3,2.1,0.9,0.1,0.9,1.6,Greek HEBA A1,PF
Shakur Juiston,MAR,16,27.9,11.9,5,8.3,0.602,0.6,1.4,0.435,1.3,1.8,0.75,2.4,4.7,7.1,2.3,1.1,0.3,2.5,2.6,Greek HEBA A1,PF
Roberts Blumbergs,ARI,11,22.7,10.6,3.7,6.8,0.547,2.2,4.5,0.49,1,1.4,0.733,1.1,1.8,2.9,0.4,0.5,0.5,0.5,2.1,Greek HEBA A1,PF
Cam Reynolds,PROM,17,29.3,10.5,3.8,9.6,0.399,2.2,6.1,0.356,0.6,1,0.647,0.6,2.7,3.3,0.8,0.5,0.1,0.7,1.6,Greek HEBA A1,PF
Khalid Moore,LAV,17,30,10.2,3.7,7.2,0.512,0.7,2.4,0.3,2.1,2.9,0.72,2.2,4.8,6.9,1.4,1.2,0.2,1.5,2.6,Greek HEBA A1,PF
Chris Coffey,PROM,17,29.4,9.4,3.5,6.7,0.526,0.5,1.5,0.32,1.9,2.5,0.744,3.2,3.9,7.1,1.6,1.5,0.4,1,2.2,Greek HEBA A1,PF
Juancho Hernangomez,PAN,10,22.3,9.4,3.6,7.9,0.456,1.2,3.4,0.353,1,2.2,0.455,2.3,4.1,6.4,0.9,0.9,0.7,0.9,1.9,Greek HEBA A1,PF
Kris Bankston,ARI,15,20.4,9,3.6,5,0.72,0,0,0,1.8,2.5,0.73,1.7,2.1,3.8,0.4,0.5,0.9,0.8,2.2,Greek HEBA A1,PF
Mathias Lessort,PAN,10,21.5,8.7,2.8,5.1,0.549,0,0.1,0,3.1,4.5,0.689,1.5,3.2,4.7,1.2,0.9,0.4,1.5,2.1,Greek HEBA A1,PF
Kostas Papanikolaou,OLY,15,22.1,8.3,3.1,6.5,0.48,0.9,3,0.289,1.2,1.7,0.692,0.7,3.6,4.3,2.2,0.8,0.1,1.6,1.5,Greek HEBA A1,PF
Tyler Polley,KOL,17,25.2,8.3,2.8,6.6,0.416,1,3.4,0.293,1.8,2.2,0.811,1.6,2.2,3.8,0.6,0.7,0.6,0.7,1.8,Greek HEBA A1,PF
Trevor Thompson,PER,16,15.4,8,2.9,5.9,0.5,0,0.3,0,2.1,2.8,0.773,1.6,4.9,6.4,0.3,0.4,1,1.2,3.2,Greek HEBA A1,PF
Kostas Antetokounmpo,PAN,16,15.1,7.8,2.9,4.4,0.671,0.1,0.3,0.5,1.8,3.4,0.509,0.9,3.1,4.1,1,0.8,1,0.6,1.5,Greek HEBA A1,PF
Malik Osborne,APO,17,21,7.6,2.4,5.3,0.444,0.8,2.3,0.359,2.1,2.7,0.761,1.9,3.2,5.1,0.4,0.8,0.5,1.1,1.7,Greek HEBA A1,PF
Michalis Tsairelis,PAOK,15,18.7,7.3,2.5,5.3,0.481,0,0.1,0,2.3,3.1,0.739,1.5,1.8,3.3,0.7,0.3,0.4,1.5,2.6,Greek HEBA A1,PF
Ioannis Kouzeloglou,ATH,17,21.8,7.1,2.5,5.5,0.457,0.4,1.2,0.333,1.6,2.1,0.8,2.4,3.9,6.3,0.5,0.6,0.4,0.8,1.6,Greek HEBA A1,PF
Michael Gilmore,PAOK,14,19,5.9,2.3,4.5,0.508,0.9,2.1,0.4,0.5,1.1,0.438,1.6,3.8,5.4,0.5,0.9,0.4,1,3.3,Greek HEBA A1,PF
DeShawn Stephens,PROM,12,16.5,5.5,2.4,3.3,0.725,0,0.1,0,0.7,1.8,0.381,1.7,2.2,3.8,1.2,0.7,0.2,1.2,2.8,Greek HEBA A1,PF
Vassilis Kavvadas,LAV,13,13,5.5,2.2,3.8,0.56,0,0,0,1.2,3.1,0.375,1.2,1.8,2.9,0.5,0.1,0.1,0.8,1.7,Greek HEBA A1,PF
Giorgos Gkiouzelis,APO,17,22.4,4.7,1.5,4.3,0.342,1,3.1,0.327,0.8,1.1,0.722,0.6,1.6,2.2,0.2,0.5,0.1,1.1,2.2,Greek HEBA A1,PF
Lefteris Mantzoukas,PAN,13,14,4.5,1.7,3.8,0.449,0.8,1.7,0.455,0.3,0.4,0.8,0.5,2.1,2.6,0.5,0.3,0.2,0.5,0.9,Greek HEBA A1,PF
Evangelos Margaritis,PAOK,17,16.5,3.9,1.5,4.5,0.342,0.4,1.6,0.25,0.4,0.9,0.438,0.3,2.5,2.8,0.6,0.5,0.2,0.8,1.9,Greek HEBA A1,PF
Diamantis Slaftsakis,ARI,14,12.8,2.8,1.3,2.8,0.462,0,0,0,0.2,0.4,0.5,1.3,1.5,2.8,0.6,0.4,0.4,0.9,2.2,Greek HEBA A1,PF
Neoklis Avdalas,KARD,15,11.6,2.7,1.1,2.5,0.459,0.2,0.8,0.25,0.3,0.5,0.571,0.5,1.6,2.1,0.7,0.3,0.3,0.8,0.9,Greek HEBA A1,PF
Vassilis Christidis,KARD,17,9.4,2.7,1.1,2.3,0.487,0,0.1,0,0.5,1.2,0.4,1.4,1.2,2.5,0.7,0.2,0.1,0.5,1.4,Greek HEBA A1,PF
Evangelos Zougris,PER,12,7.7,2.2,0.8,1.4,0.588,0,0,0,0.5,0.6,0.857,0.9,0.3,1.3,0,0.2,0.1,0.6,2.4,Greek HEBA A1,PF
Luka Brajkovic,KOL,17,26.7,15.1,6.4,9.5,0.671,0.2,0.5,0.333,2.2,3.1,0.698,2.6,4.1,6.7,1.1,0.6,1.1,0.9,3.4,Greek HEBA A1,C
Jaime Echenique,PROM,13,21.3,13.5,4.9,7.1,0.696,0,0,0,3.6,5,0.723,2.4,4.1,6.5,1,0.4,1.2,1.2,2.6,Greek HEBA A1,C
Miroslav Raduljica,MAR,16,21.6,13.3,4.6,7.3,0.632,0,0.2,0,4.1,5.1,0.793,1.6,2.9,4.4,2,0.6,0.1,1.9,3.1,Greek HEBA A1,C
Nikola Milutinov,OLY,12,21.1,12.3,4.8,7.4,0.64,0,0,0,2.8,3.5,0.786,3.1,4.3,7.4,1.3,0.3,0.8,0.8,1.8,Greek HEBA A1,C
Romello White,KARD,17,25.4,12.1,5,8.4,0.599,0,0,0,2.1,4.4,0.486,3.2,4.1,7.2,0.9,0.4,0.5,1.4,3.2,Greek HEBA A1,C
Chad Brown,APO,15,28,11.7,4.5,7.7,0.578,0,0.1,0,2.7,4.6,0.594,2.7,5.3,8,0.5,0.7,1.3,1.2,2.2,Greek HEBA A1,C
Mitchell Smith,KARD,9,22.8,11.2,4.4,8.3,0.533,0.4,1.2,0.364,1.9,2.7,0.708,2.8,2.9,5.7,1.4,0.6,0.7,1.1,3.8,Greek HEBA A1,C
Kostas Mitoglou,PAN,13,23.8,11.1,4.3,8.5,0.505,0.6,2.4,0.258,1.8,2.5,0.727,1.8,5.4,7.2,1.3,0.9,0.5,1.3,1.2,Greek HEBA A1,C
Moustapha Fall,OLY,11,20.2,7.1,3.2,3.5,0.897,0,0,0,0.7,2.5,0.296,1.3,3.9,5.2,2.7,0.5,0.7,1.5,1.8,Greek HEBA A1,C
Leonidas Kaselakis,PER,16,20.8,6.9,2.5,5.8,0.43,0.9,2.3,0.378,1,1.4,0.727,1.2,2.3,3.4,1.3,0.5,0,0.6,1.4,Greek HEBA A1,C
Olek Balcerowski,PAN,13,14.7,6.4,2.4,4.2,0.564,0,0.3,0,1.6,2.7,0.6,1.9,3,4.9,0.6,0.6,0.5,1.2,2.2,Greek HEBA A1,C
Nikos Chougkaz,PER,16,14.6,5.8,2.1,4.8,0.429,0.9,2.3,0.378,0.8,0.9,0.867,1.1,1.9,2.9,0.3,0.5,0.2,0.4,2.1,Greek HEBA A1,C
Silvio De Sousa,ARI,15,11.9,5.5,2.1,3.4,0.627,0,0.1,0,1.2,2.1,0.563,1.6,1.7,3.3,0.4,0.4,0,1.5,3,Greek HEBA A1,C
Ilja Gromovs,LAV,12,17.3,4.5,2,3.9,0.511,0,0,0,0.5,1.1,0.462,1.2,3,4.2,0.3,0.2,0.4,1,2.8,Greek HEBA A1,C
Kostas Gontikas,KOL,10,11.6,3.1,1.1,2.5,0.44,0,0,0,0.9,1.5,0.6,1.3,1.5,2.8,0.4,0.2,0.4,1,2.4,Greek HEBA A1,C
Emmanouil Chatzidakis,ATH,12,8.8,2.5,0.9,2.2,0.423,0,0.2,0,0.7,1.3,0.533,0.8,0.7,1.5,0.5,0.1,0,0.2,1.4,Greek HEBA A1,C
Georgios Tanoulis,OLY,10,6.8,2.4,1,2.5,0.4,0,0.3,0,0.4,0.6,0.667,0.6,0.8,1.4,0.6,0.2,0,0.4,1.6,Greek HEBA A1,C
Antonios Karagiannidis,PROM,14,10.1,2,0.9,1.8,0.52,0,0,0,0.1,0.4,0.4,1.3,0.6,1.9,0.1,0.2,0.4,0.6,2.1,Greek HEBA A1,C
Georgios Bogris,MAR,12,7.1,0.5,0.3,0.8,0.333,0,0,0,0,0,0,0.4,1.2,1.6,0.1,0.6,0.1,0.3,1.6,Greek HEBA A1,C
Jordan Watson,PZV,18,30.2,14.6,5,11.6,0.433,1.6,3.9,0.4,3,3.7,0.806,0.3,2.1,2.4,3.8,0.7,0,3.1,3.3,Lithuanian LKL,PG
Brae Ivey,JUV,14,24.8,14.4,4.9,9.3,0.523,1.7,3.9,0.444,2.9,4.1,0.719,0.9,2.7,3.6,3.4,1.9,0.3,2.1,3.3,Lithuanian LKL,PG
Sterling Gibbs,NEP,13,22.9,13.9,4.7,10.5,0.445,2.5,6.4,0.398,2,3,0.667,0.5,1,1.5,3.5,0.8,0,1.8,2.6,Lithuanian LKL,PG
Mike Lewis,JJ,19,24.4,13.4,4.8,10.1,0.476,1.7,4.6,0.364,2.2,2.5,0.854,0.1,1.2,1.3,3.7,1,0.1,2.8,2.7,Lithuanian LKL,PG
R.J. Cole,LIE,16,23.1,11.8,4.3,8.9,0.486,1.2,3.4,0.345,2,2.3,0.865,0.7,1.3,2,4.6,1.3,0.1,1.8,2.1,Lithuanian LKL,PG
Ryan Larson,GG,13,30.9,11.8,4.2,10.4,0.407,1.9,5.3,0.362,1.4,2.2,0.643,0.2,2.4,2.5,6.1,1.9,0.1,2.5,2.7,Lithuanian LKL,PG
Martynas Paliukenas,MAZ,18,25.6,11.2,4.7,9.2,0.509,0.5,2.4,0.205,1.3,1.8,0.75,1.4,3.2,4.6,4.2,1.8,0,2.8,3.4,Lithuanian LKL,PG
Paulius Valinskas,TEC,10,21,10.8,4.2,7.6,0.553,1.4,3.4,0.412,1,1.6,0.625,0.1,1.6,1.7,4.5,0.6,0.1,1.6,1.7,Lithuanian LKL,PG
Brevin Galloway,KED,5,17.3,10.2,3.6,9.6,0.375,1.8,4.6,0.391,1.2,2.6,0.462,0.4,0.8,1.2,2,1.2,0,1,2.4,Lithuanian LKL,PG
Lukas Lekavicius,ZAL,16,16.9,9.6,3.6,6.4,0.569,1.1,2.3,0.486,1.3,1.4,0.87,0.2,0.8,0.9,2.7,0.4,0,0.9,1.4,Lithuanian LKL,PG
Eimantas Stankevicius,SIA,18,20.6,9.6,3.1,7.2,0.434,1.2,3.5,0.349,2.2,2.3,0.929,0.7,2,2.7,1.1,0.6,0,1.4,1.9,Lithuanian LKL,PG
Arnas Velicka,LIE,17,23,9.6,2.9,7,0.412,1.1,4.2,0.25,2.8,3.6,0.77,0.6,2.1,2.6,5.4,1.2,0.5,3.1,1.9,Lithuanian LKL,PG
Marius Valinskas,JUV,17,17.1,9.5,3.2,6.6,0.487,1.4,2.9,0.46,1.7,2.1,0.829,0.2,1.4,1.6,2.8,0.6,0,1.5,0.9,Lithuanian LKL,PG
Zygimantas Janavicius,NEP,19,23.8,8.9,3.4,6.4,0.525,0.6,1.8,0.314,1.6,2.4,0.667,0.3,1.9,2.2,6.4,1,0.1,2.2,2.2,Lithuanian LKL,PG
