name,img_url,age,height,weight,nationality
Dylan Ennis,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ennis_Dylan_ncaa_12.jpg,32,6-2,195,United States/Jamaica
Joe Thomasson,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Thomasson_Joe_wrst.jpg,30,6-4,165,United States
Brancou Badio,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,24,6-3,187,Senegal
Andres Feliz,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Feliz_Andres_il18.jpg,26,6-2,185,Dominican Republic
Trae Bell-Haynes,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Bellhaynes_Trae_ver.jpg,28,6-2,180,Canada
A.J. Slaughter,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Slaughter_AJ_LNB.jpg,36,6-4,185,United States/Poland
Mario Hezonja,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Hezonja_Mario_21unics.jpg,28,6-8,220,Croatia
Vanja Marinkovic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Marinkovic_Vanja_18.jpg,27,6-6,194,Serbia
Adam Terrell,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Smith_Adam_ncaa_wil.jpg,31,6-1,170,United States
Yannick Franke,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,27,6-4,190,Netherlands
Stefan Momirov,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,24,6-6,192,Serbia
Codi Miller-McIntyre,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/MillerMcyntire_Cody_dal_18.jpg,29,6-4,204,United States
David Kramer,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kramer_David_phx19.jpg,27,6-3,185,Slovakia/Austria
Kassius Robertson,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Robertson_Kassius_ncaacanis.jpg,29,6-3,180,Canada
Kristian Kullamae,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,24,6-4,186,Estonia
Thaddus McFadden,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,36,6-2,176,United States/Georgia
Nihad Djedovic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Djedovic_Nihad_euro.jpg,34,6-6,205,Bosnia and Herzegovina
Dario Brizuela,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,29,6-4,161,Spain
Markel Brown,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Brown_Markel_okc17.jpg,32,6-3,190,United States
