#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
37,Marcus Sasser,DET,46,16.2,7.9,3,6.2,0.484,1.2,2.8,0.43,0.7,0.8,0.868,0.1,1.4,1.5,2.9,0.5,0.2,0.9,1.3
38,Payton Pritchard,BOS,52,20.7,7.8,2.8,6.6,0.426,1.7,4.5,0.371,0.6,0.7,0.811,0.9,2.3,3.2,2.8,0.4,0.1,0.6,1.3
39,Killian Hayes,DET,42,24,6.9,2.8,6.7,0.413,0.5,1.8,0.297,0.8,1.2,0.66,0.3,2.6,2.8,4.9,0.9,0.5,1.2,1.8
40,Aaron Holiday,HOU,48,17.4,6.6,2.4,5.3,0.447,1.1,2.9,0.393,0.7,0.8,0.919,0.3,1.6,1.9,1.9,0.6,0.1,0.8,1.5
41,Cameron Payne,PHI,48,15.4,6.5,2.3,5,0.454,1.2,2.9,0.4,0.8,1,0.848,0.2,1.2,1.4,2.4,0.5,0.1,0.7,1.6
42,Patrick Beverley,MIL,47,19.6,6.3,2.2,5.1,0.432,0.7,2.3,0.321,1.1,1.3,0.81,0.6,2.4,3.1,3.1,0.5,0.4,1,1.8
43,Patrick Beverley,MIL,48,19.4,6.3,2.2,5.1,0.431,0.8,2.3,0.33,1.1,1.3,0.81,0.6,2.4,3,3.1,0.5,0.4,1,1.8
44,Cameron Payne,PHI,47,14.9,6.2,2.1,4.7,0.455,1.1,2.8,0.397,0.8,0.9,0.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6
45,Miles McBride,NYK,39,12.2,5.9,2.2,4.9,0.44,1.2,2.8,0.418,0.4,0.5,0.8,0.2,0.7,0.9,1.1,0.5,0.1,0.4,1.2
46,Dyson Daniels,NOP,52,21.9,5.5,2.2,4.9,0.438,0.6,2.1,0.291,0.6,1,0.64,1,2.7,3.7,2.6,1.4,0.4,1,1.6
47,Kris Dunn,UTA,45,17.9,5.3,2.2,4.6,0.473,0.6,1.5,0.42,0.3,0.4,0.65,0.7,2.2,2.9,4.3,1,0.5,1.3,1.8
48,Jevon Carter,CHI,50,13.6,5.1,2,5.3,0.37,1.1,3.4,0.335,0.1,0.1,0.6,0.1,0.6,0.7,1.2,0.5,0.2,0.5,1
49,Anthony Black,ORL,48,18.3,5,1.8,3.7,0.494,0.5,1.3,0.381,0.8,1.3,0.656,0.5,1.7,2.2,1.6,0.5,0.4,0.9,1.9
50,Jordan Goodwin,PHX,40,14,5,1.9,4.8,0.389,0.6,2,0.288,0.6,0.7,0.862,1,1.9,2.9,2,0.6,0.2,0.7,1.1
51,Shake Milton,MIN,38,12.9,4.7,1.7,4.2,0.4,0.4,1.4,0.264,0.9,1.2,0.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2
52,Malachi Flynn,NYK,45,11.9,4.2,1.4,3.6,0.406,0.7,2.1,0.344,0.6,0.7,0.788,0.3,1.3,1.6,1.8,0.4,0.1,0.8,1
53,Davion Mitchell,SAC,41,13,3.7,1.4,3.6,0.385,0.5,1.8,0.26,0.4,0.6,0.783,0.1,0.9,1,1.8,0.2,0,0.6,1.2
54,Ish Smith,CHA,43,17.2,3.2,1.5,3.7,0.418,0.1,0.2,0.5,0.1,0.1,0.75,0.3,1.5,1.8,3.4,0.4,0.1,1.1,1.1
