,CenterRating,PowerForwardRating,ShootingGuardRating,SmallForwardRating,PointGuardRating,OverallRating,id,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
2571,28.079654763427047,30.869509835890813,37.04192790937641,37.04192790937641,35.588675876856094,33.72433925898536,2571,Jerime Anderson,AST,42,23.1,10.8,3.9,7.5,0.511,1.8,4.0,0.452,1.3,1.7,0.74,0.4,2.5,2.8,4.5,1.0,0.2,2.3,2.7,Mexican LNBP,PG
2651,31.317426266831095,30.35728133929486,34.1494859073187,34.1494859073187,38.27550216748129,33.64983631764893,2651,Pancake Thomas,CHIH,27,29.1,12.8,4.2,9.4,0.451,2.0,4.9,0.406,2.4,3.1,0.762,0.6,2.5,3.1,3.7,1.0,0.0,1.4,1.9,Mexican LNBP,SF
2142,49.83764898930068,38.515185221184744,27.8802547345909,27.8802547345909,24.12009213296488,33.646687162526426,2142,Andres Ibarguen,RIAC,19,27.2,13.7,5.3,8.7,0.602,0.0,0.2,0.0,3.2,4.4,0.714,2.3,5.7,8.0,1.0,0.7,0.4,1.0,1.9,Argentinian Liga A,PF
693,25.935578432337515,29.902969736685336,37.627026340458926,37.627026340458926,37.037595446149986,33.62603925921814,693,R.J. Cole,LIE,16,23.1,11.8,4.3,8.9,0.486,1.2,3.4,0.345,2.0,2.3,0.865,0.7,1.3,2.0,4.6,1.3,0.1,1.8,2.1,Lithuanian LKL,PG
1299,26.252034858331964,29.02377398876674,37.95500536910439,37.955005369104384,36.928582604876745,33.622880438036844,1299,Karlo Miksic,DIN,19,26.0,8.4,3.2,8.2,0.385,1.0,3.8,0.264,1.1,1.6,0.645,0.6,2.2,2.7,5.6,1.3,0.0,2.1,3.2,Croatian A1 Liga,PG
2296,39.795233746512274,35.59233519578764,31.94908792667145,31.94908792667145,28.73770581285031,33.604690121698624,2296,Fabricio Verissimo,PATO,21,26.0,11.1,4.3,9.0,0.484,0.4,1.7,0.25,2.0,3.7,0.545,1.9,4.0,5.9,2.5,1.6,0.1,1.6,2.7,Brazilian NBB,SF
2572,24.530737493914287,28.93291140695776,36.67869095015538,36.67869095015538,41.14007306397652,33.59222077303187,2572,David Cubillan,ABE,26,26.2,10.4,3.5,9.0,0.391,2.3,6.5,0.355,1.1,1.5,0.744,0.1,1.6,1.7,4.4,0.8,0.0,2.1,1.5,Mexican LNBP,PG
225,31.30755955550478,32.05031317869319,34.169851411066574,34.169851411066574,36.1820465330178,33.575924417869786,225,Davide Moretti,VAR,16,28.2,12.0,3.6,8.7,0.41,2.4,5.5,0.432,2.5,2.9,0.851,0.3,3.1,3.4,3.2,0.6,0.0,2.2,2.2,Italian Lega Basket,PG
2381,43.92016491440736,36.438280856436336,29.16419942644627,29.16419942644627,29.021923003682044,33.54175352548366,2381,Ralfi Ansaloni,SPFC,23,23.4,12.8,4.7,9.4,0.502,0.7,2.8,0.25,2.7,3.2,0.836,1.3,4.9,6.1,1.1,0.3,0.3,1.4,2.4,Brazilian NBB,C
2022,29.708696488292567,29.600000836118657,36.31549239520505,36.31549239520505,35.72606150089611,33.53314872314348,2022,Jeremias Sandrini,USF,19,26.8,10.4,3.9,8.1,0.481,1.6,3.4,0.484,0.9,1.3,0.72,0.1,2.8,2.9,4.8,1.5,0.1,1.8,2.6,Argentinian Liga A,PG
254,36.788580320965956,32.96611655285002,29.76043134927504,29.760431349275045,38.164902893990494,33.48809249327131,254,Sean McDermott,VAR,16,29.6,13.4,4.4,10.1,0.435,2.8,6.8,0.404,1.9,2.3,0.833,0.8,3.4,4.2,1.5,0.6,0.2,1.3,2.1,Italian Lega Basket,SG
1334,42.74799415589414,36.262486909517335,29.31735284794832,29.317352847948314,29.530767482094657,33.435190848680556,1334,Ralph Bissainthe,ALK,8,23.9,14.0,4.0,9.1,0.438,1.3,4.0,0.313,4.8,5.9,0.809,0.6,5.3,5.9,1.1,0.3,1.0,1.9,2.1,Croatian A1 Liga,SF
2336,45.76844439124792,37.036560333276896,26.9384967781627,26.9384967781627,30.48524474564237,33.43344860529852,2336,Leonardo Demetrio,CORI,21,25.5,11.8,4.6,9.8,0.473,1.1,4.0,0.286,1.4,2.4,0.588,2.2,4.9,7.1,0.6,0.4,0.1,1.1,2.1,Brazilian NBB,PF
1003,28.610501214053375,32.88586353289396,34.54922003736268,34.54922003736268,36.35816312679357,33.39059358969325,1003,Demonte Harper,CHA,11,27.5,11.8,4.0,10.6,0.376,2.1,5.4,0.39,1.7,2.3,0.76,0.3,1.8,2.1,2.1,0.6,0.3,2.2,3.1,French Jeep Elite,SF
1346,36.623652224443696,36.44249280415384,32.98544215867221,32.985442158672214,27.853328337534002,33.378071536695195,1346,Kellon Taylor,SRKL,11,29.5,10.0,3.7,8.2,0.456,0.9,2.6,0.345,1.6,3.4,0.486,1.6,3.9,5.5,2.3,0.7,0.4,2.5,2.9,Croatian A1 Liga,SF
1289,27.179424212796565,29.498264792506713,35.428627255267386,35.428627255267386,39.331066279657634,33.373201959099134,1289,Antonio Klarin,SIB,18,27.7,12.3,4.3,9.6,0.451,2.2,5.2,0.419,1.5,1.7,0.9,0.2,1.6,1.8,3.7,1.3,0.3,1.6,2.9,Croatian A1 Liga,PG
1972,36.81019529459687,34.65439819314759,31.10424923584868,31.10424923584868,32.96400533340966,33.327419458570304,1972,Deshaui Shi,TIA,38,35.4,10.9,3.9,8.9,0.44,1.6,4.4,0.367,1.4,1.7,0.828,2.3,3.4,5.7,2.4,1.9,0.4,1.7,3.4,Chinese CBA,C
296,35.76161815269945,33.75074858748205,31.960157723529726,31.960157723529726,32.996743089383386,33.28588505532487,296,Rayjon Tucker,VEN,18,27.5,15.2,4.4,8.9,0.491,1.8,4.2,0.421,4.7,5.8,0.8,0.7,3.5,4.2,2.1,1.1,0.1,1.8,1.9,Italian Lega Basket,SF
1218,37.93259569264388,36.84563917090475,32.4607086843109,32.4607086843109,26.617212749351555,33.2633729963044,1218,Andrija Bojic,SPAR,19,21.4,15.4,6.2,9.1,0.68,0.1,0.2,0.25,3.0,4.2,0.722,1.5,2.7,4.2,1.0,0.5,0.8,1.5,2.3,Serbian KLS,PF
822,37.56244789594832,36.38491166406425,32.34134165413376,32.341341654133764,27.666544906166283,33.25931755488927,822,Cam Shelton,AFUL,12,30.5,10.6,3.8,9.1,0.422,0.5,1.8,0.273,2.4,3.3,0.744,2.5,3.5,6.0,2.4,1.5,0.2,2.0,3.0,Israeli BSL,PG
94,33.94761073641787,34.273697692939606,32.59792808022859,32.59792808022859,32.791017511122895,33.24163642018751,94,Santiago Yusta,ZAR,18,26.0,12.7,4.3,9.2,0.47,1.7,4.4,0.388,2.3,2.9,0.808,0.6,3.1,3.7,1.8,1.4,0.2,2.1,2.4,Spanish ACB,SF
1043,36.56437953452366,34.78901721568308,32.19778087010215,32.19778087010215,30.42948818717532,33.23568933551728,1043,Desi Rodriguez,N92,22,25.1,13.3,5.2,9.4,0.558,0.7,2.0,0.356,2.1,3.1,0.676,1.5,2.8,4.4,1.9,1.0,0.1,1.4,2.3,French Jeep Elite,PF
1,28.253402718912458,30.264272284129845,33.4078919464933,33.4078919464933,40.80626593023314,33.22794496525241,1,Jordan Howard,OBR,18,25.6,15.6,4.8,11.7,0.408,2.0,6.1,0.33,4.0,4.8,0.828,0.1,1.1,1.2,2.1,0.8,0.0,1.2,1.3,Spanish ACB,PG
434,31.16019506284659,31.015267526614704,32.54207984041808,32.54207984041808,38.700616425783934,33.19204773921628,434,Sek Henry,SAM,18,28.2,12.0,4.3,10.1,0.431,2.1,5.9,0.355,1.2,2.0,0.611,0.8,2.2,2.9,2.6,1.1,0.1,1.4,1.7,Turkish BSL,SG
2612,34.11496340663095,31.922934421123706,31.71191158100455,31.711911581004543,36.45784654035413,33.18391350602358,2612,Daniel Bejarano,FUE,41,26.5,12.0,4.3,9.5,0.456,2.0,5.0,0.386,1.4,1.9,0.747,1.4,2.8,4.1,2.7,1.8,0.2,1.3,1.8,Mexican LNBP,SG
1904,43.12448128834615,38.77665520138964,30.071963046474043,30.071963046474043,23.821963046474043,33.173405125831586,1904,HanLin Tao,SHA,39,26.8,11.5,4.7,9.2,0.518,0.0,0.0,0.0,2.0,2.7,0.729,3.5,3.9,7.4,1.4,0.7,0.6,1.5,3.9,Chinese CBA,PF
540,49.176150762826495,40.51673047297142,28.007420641789693,28.007420641789693,20.090753975123025,33.15969529890007,540,Angel Delgado,BES,19,27.0,9.5,4.0,6.8,0.589,0.0,0.0,0.0,1.5,4.5,0.337,3.9,6.1,10.0,1.6,0.8,0.2,1.9,2.5,Turkish BSL,C
1655,29.81520334996392,31.717377263007396,33.70968113589717,33.70968113589717,36.80927463183213,33.15224350331955,1655,Ian Clark,MEL,19,25.0,13.1,5.0,10.4,0.48,2.0,4.6,0.437,1.1,1.2,0.913,0.4,1.6,1.9,2.1,0.7,0.1,1.5,2.7,Australian NBL,SF
1226,44.02724745967614,37.10695760460367,29.674609044524225,29.67460904452423,25.24371473558114,33.14542757778189,1226,Marjko Gutalj,PAZ,20,28.4,11.7,4.5,8.0,0.566,0.4,1.1,0.381,2.3,3.8,0.592,2.2,5.0,7.2,1.8,1.3,0.5,1.6,3.9,Serbian KLS,PF
330,42.07972461795967,35.1594347628872,27.742602588110643,27.74260258811064,32.86455380762283,33.1177836729382,330,Gabe Brown,VAR,19,30.2,12.0,4.3,8.6,0.494,2.4,5.8,0.405,1.1,1.4,0.808,0.9,5.0,5.9,0.9,0.3,0.3,1.6,2.3,Italian Lega Basket,PF
2225,29.050693544518737,26.33330224017091,36.28551177343804,36.28551177343804,37.555836976690074,33.10217126165116,2225,Franco Balbi,FLA,24,25.1,8.1,2.8,7.2,0.393,0.9,3.7,0.247,1.5,2.1,0.74,0.5,3.3,3.8,6.8,1.7,0.0,1.5,2.4,Brazilian NBB,PG
2692,37.23098024324328,35.509965750489656,33.4897323840547,33.4897323840547,25.766155148282344,33.09731318202494,2692,Wayne Langston,ABE,37,26.5,11.5,4.7,7.6,0.619,0.2,0.3,0.545,1.9,3.3,0.582,1.5,3.7,5.2,2.7,0.6,0.3,2.0,2.4,Mexican LNBP,PF
891,37.51389195238523,34.9233122422403,31.509707475606742,31.509707475606735,29.944666825200233,33.080257194207846,891,Tomer Ginat,HAP,7,26.9,11.9,4.9,9.4,0.515,1.0,2.1,0.467,1.1,2.3,0.5,1.7,3.1,4.9,1.9,1.0,0.0,1.4,1.7,Israeli BSL,PF
2727,34.412934339783895,32.003514049928825,31.677669958568355,31.677669958568355,35.54962117808054,33.064281896985996,2727,Charly Zesati,COR,24,27.3,10.3,3.5,8.2,0.421,2.0,5.8,0.35,1.4,1.8,0.767,0.8,3.8,4.6,3.0,1.2,0.3,1.9,2.8,Mexican LNBP,C
1910,43.22510379458818,37.42800234531283,29.638776923267145,29.638776923267145,25.370484240340318,33.06022884535513,1910,Kyle O'Quinn,SICH,6,17.5,9.3,3.8,9.0,0.426,0.5,2.0,0.25,1.2,1.7,0.7,1.5,5.2,6.7,1.3,0.3,1.3,2.0,2.3,Chinese CBA,PF
2062,37.3640651130128,34.79160134489685,31.635568574291096,31.635568574291096,29.84695068811224,33.05475085892082,2062,Jonatan Torresi,OTC,20,26.4,11.2,4.6,9.6,0.479,0.7,2.4,0.298,1.3,1.8,0.743,1.2,3.4,4.6,1.8,1.1,0.2,1.6,1.3,Argentinian Liga A,SG
1573,39.826372066166435,35.47854597920991,29.97022919668757,29.97022919668757,30.021042204817654,33.05328372871383,1573,Karlis Silins,GOE,15,28.1,14.0,4.6,9.1,0.507,1.3,3.1,0.404,3.5,4.9,0.716,1.7,3.9,5.6,1.5,0.7,0.5,1.5,3.5,German BBL,C
2417,25.938277357461537,28.112190400939802,35.29317351911259,35.29317351911259,40.62853937277113,33.05307083387953,2417,Sung-Won Choi,ANY,35,29.2,12.1,3.9,9.4,0.421,2.2,5.7,0.394,2.0,2.1,0.92,0.4,1.5,1.9,4.3,0.6,0.0,1.5,1.9,South Korean KBL,PG
2722,40.51967716640843,36.02692354322002,30.025185708066104,30.025185708066104,28.66339709017992,33.05207384318812,2722,Justin Keenan,HAL,33,25.8,14.1,4.9,8.9,0.548,0.8,2.2,0.365,3.5,5.2,0.68,2.2,3.8,5.9,1.5,0.6,0.2,1.4,2.6,Mexican LNBP,C
1296,33.38005231512622,31.514110286140706,34.29774980947735,34.29774980947735,31.66563598833914,33.03105964171216,1296,Josip Batinic,CEJR,18,25.6,10.0,4.0,7.6,0.526,0.7,2.6,0.261,1.3,1.6,0.857,0.4,3.6,4.0,3.9,1.1,0.1,1.9,1.8,Croatian A1 Liga,PG
2657,37.474989146361935,35.19238045070976,31.02157608129566,31.02157608129566,30.43214518698672,33.02853338932995,2657,Malik Dunbar,FRES,14,24.6,11.5,4.2,10.2,0.413,0.9,3.4,0.255,2.2,3.4,0.66,0.9,3.6,4.5,1.3,1.0,1.0,1.8,2.6,Mexican LNBP,SF
1087,43.17524340368273,38.555678186291416,29.82305653783065,29.823056537830645,23.57305653783065,32.99001824069322,1087,Ibou Faye,N92,22,24.5,12.7,5.2,9.0,0.579,0.0,0.0,0.0,2.3,4.0,0.586,2.6,4.0,6.7,0.9,0.8,1.4,1.5,3.0,French Jeep Elite,C
21,20.90994412500774,26.688929632254116,38.98721662331668,38.98721662331668,39.36323288347928,32.9873079774749,21,Dani Perez,MAN,15,20.9,8.6,2.7,7.7,0.353,1.7,4.9,0.342,1.5,1.9,0.786,0.4,1.4,1.8,6.4,1.0,0.0,2.3,1.9,Spanish ACB,PG
2379,41.115728659684535,39.1592069205541,30.19073621548955,30.19073621548955,24.255776865896056,32.98243697542276,2379,Marcio Santos,FRA,22,22.7,13.5,4.3,8.0,0.537,0.9,2.0,0.444,3.9,5.5,0.717,2.3,4.4,6.7,0.8,0.7,0.7,2.4,2.6,Brazilian NBB,C
362,39.70219850583779,37.40147386815663,31.207332855247,31.207332855247,25.15042228614131,32.93375207412595,362,Leonardo Tote,PES,19,26.2,13.6,5.0,10.1,0.495,0.0,0.3,0.0,3.6,4.8,0.739,1.9,3.3,5.3,1.0,0.6,1.0,1.6,2.5,Italian Lega Basket,C
2656,42.03700134042544,34.80874047086022,29.229048315944635,29.229048315944635,29.310349128952762,32.92283751442554,2656,Vance Johnson,COR,24,25.9,11.8,4.5,10.0,0.446,0.6,2.5,0.246,2.2,3.0,0.736,1.0,4.5,5.5,1.4,0.7,0.3,1.2,2.0,Mexican LNBP,SF
2384,37.11962707426724,34.366003885861446,29.84452920860226,29.84452920860226,33.391277176081935,32.913193310683035,2384,Victor da Silva,PAU,23,26.0,12.7,4.8,10.1,0.478,1.7,4.0,0.409,1.3,1.7,0.795,2.3,2.7,5.0,1.5,0.6,0.3,1.1,2.0,Brazilian NBB,C
1965,43.9090852062164,37.38734607578162,27.3823808324847,27.3823808324847,28.449454003216402,32.90212939003677,1965,Thon Maker,FUJ,33,19.7,13.7,4.5,9.1,0.495,1.3,3.6,0.364,3.3,4.6,0.724,2.3,4.7,6.9,0.5,1.2,1.7,1.5,1.9,Chinese CBA,C
230,26.60156568443628,31.184899017769613,36.74286823326117,36.74286823326117,33.226608070659545,32.899761847877556,230,Deishuan Booker,TREV,8,23.8,10.5,3.4,8.0,0.422,0.9,3.6,0.241,2.9,3.6,0.793,0.4,2.3,2.6,4.1,0.6,0.1,2.6,2.3,Italian Lega Basket,PG
934,23.948553244353953,30.669567737107577,36.97232344713737,36.97232344713737,35.935738081283716,32.899701191404,934,Loren Cristian Jackson,GRV,9,24.4,12.6,4.2,9.8,0.432,1.6,4.0,0.389,2.6,3.3,0.767,0.1,0.9,1.0,3.3,0.6,0.0,2.2,3.2,French Jeep Elite,PG
2144,39.036789777413404,33.728818762920646,28.878396717240417,28.878396717240417,33.817421107484314,32.867964616459844,2144,Patricio Tabarez,CIC,19,27.6,12.6,4.4,8.9,0.488,1.7,5.3,0.33,2.2,2.4,0.891,1.2,4.1,5.2,1.5,1.1,0.5,1.4,2.7,Argentinian Liga A,PF
2626,27.70691624853918,30.225032190568164,36.3540043852057,36.354004385205705,33.68124015756343,32.86423947341644,2626,Geno Luzcando,SAN,18,25.4,8.4,3.0,7.9,0.378,0.9,3.4,0.262,1.6,2.8,0.56,0.8,2.6,3.4,4.9,1.4,0.2,2.3,2.8,Mexican LNBP,SG
1656,34.48430234941163,33.5060414798464,30.97997395253757,30.97997395253757,34.313307285870906,32.85271980404082,1656,Jordan Usher,PER,25,25.1,12.8,4.8,11.2,0.43,1.2,4.1,0.291,2.0,2.5,0.81,1.3,2.2,3.5,1.3,0.8,0.1,1.2,2.3,Australian NBL,SF
2103,39.06400225870184,31.944437041310536,27.84500804428968,27.84500804428968,37.50964219063115,32.84161951584458,2103,Leonardo Mainoldi,CABJ,20,27.8,12.3,4.3,10.3,0.415,2.5,6.6,0.371,1.3,1.6,0.839,0.6,4.0,4.6,1.4,0.6,0.1,0.9,1.8,Argentinian Liga A,SF
181,38.87580853582628,38.82146070973932,31.898049587594336,31.898049587594336,22.50780568515531,32.80023482118192,181,Artem Pustovyi,OBR,21,24.2,12.7,4.8,8.3,0.571,0.1,0.3,0.5,3.0,4.0,0.759,2.0,3.7,5.6,0.9,0.5,1.6,2.4,3.4,Spanish ACB,C
2017,34.64126204203987,32.32242146232972,31.025251651008972,31.02525165100897,34.94801587865125,32.79244053700776,2017,Franco Mendez,SMC,19,22.3,11.5,4.2,10.0,0.421,1.3,4.8,0.275,1.7,2.5,0.688,0.9,3.0,3.9,2.1,1.1,0.6,1.4,3.4,Argentinian Liga A,PG
968,32.474770119627685,31.641436786294346,32.36760361846912,32.36760361846912,35.08101825261546,32.786486479095146,968,Johnny Berhanemeskel,GRV,12,28.2,12.5,4.8,9.7,0.5,1.7,4.0,0.417,1.2,1.7,0.7,0.8,2.3,3.1,2.4,0.7,0.0,1.3,2.3,French Jeep Elite,SG
1230,34.740922046204105,35.393095959247574,33.25183478745016,33.251834787450164,27.286387632978617,32.784815042666125,1230,Milic Blagojevic,RADN,19,23.6,10.2,3.5,8.1,0.435,0.7,2.6,0.265,2.4,4.5,0.541,0.7,3.9,4.7,2.3,0.5,0.4,2.7,2.7,Serbian KLS,PF
2255,34.30244370217708,30.51621181811911,33.89257726002577,33.89257726002576,31.28078864213959,32.77691973649746,2255,Sebastian Orresta,CEA,24,28.6,11.2,3.9,6.9,0.57,0.7,2.2,0.308,2.7,3.4,0.793,0.5,4.0,4.5,4.5,1.2,0.2,1.7,2.1,Brazilian NBB,SG
2690,38.32221306884356,33.68453190942327,29.091681859770834,29.091681859770834,33.6343647866001,32.764894696881726,2690,Anyeuri Alberto Castillo Correa,CHIH,26,26.9,12.0,4.4,9.7,0.454,1.8,4.9,0.367,1.4,2.2,0.661,1.3,3.7,4.9,1.4,1.2,0.6,1.3,2.8,Mexican LNBP,PF
2020,36.61615924943082,33.79007229290909,29.690643295888236,29.69064329588823,33.9792611820671,32.75335586323669,2020,Franco Smaniotti,CAOS,19,23.3,11.0,3.8,9.6,0.396,1.7,5.8,0.297,1.7,2.2,0.78,0.7,3.8,4.6,1.4,0.9,0.3,1.8,2.8,Argentinian Liga A,PG
1536,35.89218415822346,34.515372564020566,31.00246293144857,31.002462931448566,31.276853175351004,32.73786715209843,1536,"Jimmy Boeheim, Jr.",TUB,19,27.6,14.5,5.1,10.2,0.495,0.8,2.8,0.296,3.6,4.5,0.791,1.6,2.5,4.1,1.3,0.4,0.1,1.3,1.8,German BBL,PF
533,40.45949849194187,36.546455013681,31.323639720731645,31.323639720731645,24.026891753251967,32.73602494006762,533,Ahmet Duverioglu,CAG,17,23.6,12.1,4.8,7.9,0.612,0.1,0.1,1.0,2.4,3.4,0.707,1.8,4.2,6.0,1.9,0.9,0.6,1.8,2.7,Turkish BSL,C
1797,32.982583262195085,32.16736587089074,33.55142743990762,33.55142743990762,31.366468090314125,32.723854420643036,1797,Grant Riller,BEIK,34,16.7,13.9,5.0,9.6,0.515,0.8,2.0,0.377,3.2,3.7,0.85,0.1,2.6,2.7,2.4,0.5,0.2,1.5,0.9,Chinese CBA,SG
4,32.54367578254117,31.54729897094697,31.159389338374975,31.159389338374975,37.15532429772457,32.71301554559253,4,Jerrick Harding,AND,14,21.5,14.1,5.1,11.5,0.441,1.5,5.0,0.3,2.4,2.9,0.829,0.4,1.9,2.2,1.3,0.6,0.1,1.0,1.8,Spanish ACB,PG
590,32.72174519911121,33.138411865777876,30.913362213344907,30.913362213344907,35.83206140033678,32.70378857838314,590,Roberto Gallinat,ARI,16,25.4,15.3,4.7,10.9,0.431,2.1,5.7,0.374,3.8,4.8,0.803,0.4,2.3,2.6,0.8,0.7,0.3,1.6,3.8,Greek HEBA A1,SG
184,38.53911059741314,35.94853088726821,31.619459387764742,31.619459387764735,25.786126054431403,32.70253726292845,184,Ethan Happ,GCN,21,19.3,12.6,5.6,7.8,0.713,0.0,0.0,0.0,1.5,2.8,0.525,2.4,3.1,5.6,2.0,1.2,0.4,1.4,3.0,Spanish ACB,C
180,43.87360014879277,38.43881754009711,28.66970135340397,28.66970135340397,23.842465581046245,32.698857195348815,180,Willy Hernangomez,FCB,21,20.0,13.6,5.1,8.8,0.582,0.3,0.7,0.467,3.1,5.1,0.602,2.5,4.3,6.9,0.6,0.4,0.5,1.5,1.9,Spanish ACB,C
532,39.08284645326192,32.090092830073516,28.626835630470737,28.626835630470737,34.846347825592694,32.654591673973925,532,Vitto Brown,PIN,19,29.8,13.6,4.9,9.7,0.505,2.1,4.7,0.433,1.8,2.2,0.81,0.7,3.8,4.5,1.6,0.5,0.6,0.8,2.0,Turkish BSL,C
2209,31.49743176385683,30.93583756095828,33.00572336036245,33.00572336036245,34.702877831907166,32.62951877548944,2209,Caue dos Santos,CORI,22,29.6,14.4,4.8,9.2,0.522,1.2,3.5,0.338,3.5,4.1,0.857,0.8,2.2,3.0,2.9,1.1,0.1,1.3,2.0,Brazilian NBB,PG
889,38.64035082039145,32.20919140010159,28.58146051628829,28.58146051628829,34.98389954067853,32.599272558749625,889,Isaiah Miles,IRG,12,27.7,14.1,4.8,9.1,0.523,2.6,5.2,0.5,2.0,2.3,0.889,0.7,3.9,4.6,1.6,0.8,0.5,1.0,2.7,Israeli BSL,PF
708,17.87964535482013,28.912254050472303,39.910267953153536,39.910267953153536,36.32286957916979,32.58706097815386,708,Lovre Basic,KED,12,23.4,6.5,2.4,7.3,0.33,1.2,5.0,0.233,0.5,0.7,0.75,0.3,1.0,1.3,5.5,0.7,0.1,3.3,2.8,Lithuanian LKL,PG
1418,27.98461300838855,30.72012025476536,33.09102392904539,33.09102392904539,37.99956051441125,32.577268327131186,1418,T.J. Crockett,BLB,19,24.1,13.2,4.2,10.1,0.417,2.1,5.9,0.357,2.7,2.9,0.927,0.5,1.6,2.1,2.4,0.7,0.1,1.7,2.7,German BBL,PG
439,30.023343217255526,30.729864956385967,33.88589772699173,33.88589772699172,34.31272699528441,32.567546124581874,439,Bugrahan Tuncer,GAL,17,20.2,10.3,3.8,8.9,0.421,1.2,3.9,0.303,1.6,1.8,0.9,0.8,2.5,3.2,3.5,0.9,0.1,1.8,1.2,Turkish BSL,SG
849,35.2502211170309,32.55094575471206,32.29647703574483,32.29647703574483,30.294444515419627,32.537713091730446,849,Raz Adam,KIRY,15,26.8,11.0,3.7,8.9,0.41,0.8,2.5,0.316,2.9,4.3,0.662,1.1,3.6,4.7,3.1,1.5,0.0,1.7,2.5,Israeli BSL,SG
1341,32.124008120166245,32.01531246799234,32.41253193174607,32.41253193174606,33.65236933012004,32.52335075635415,1341,Mirko Jukic,ALK,19,30.6,11.1,4.1,9.3,0.438,1.4,4.3,0.321,1.6,2.4,0.652,0.5,2.8,3.3,2.4,0.7,0.0,1.8,3.2,Croatian A1 Liga,SF
677,45.196613926210524,35.93936754939894,27.32777370630063,27.32777370630063,26.789155820121763,32.5161369416665,677,Kostas Mitoglou,PAN,13,23.8,11.1,4.3,8.5,0.505,0.6,2.4,0.258,1.8,2.5,0.727,1.8,5.4,7.2,1.3,0.9,0.5,1.3,1.2,Greek HEBA A1,C
5,26.17556578649729,32.24440636620743,35.55870626690256,35.55870626690256,32.86561683600825,32.48060030450362,5,Andrew Andrews,JOV,17,26.0,13.8,3.6,9.7,0.37,1.2,3.8,0.323,5.4,6.0,0.892,0.5,1.6,2.1,2.8,1.1,0.0,2.5,3.3,Spanish ACB,PG
1364,34.68957998715467,33.059145204545985,30.51135473781311,30.51135473781311,33.610948233748076,32.47647658021499,1364,Dario Dreznjak,ZAD,18,22.3,12.4,4.6,9.6,0.474,1.6,4.6,0.354,1.7,2.2,0.75,0.9,2.9,3.8,1.5,0.5,0.2,1.5,1.7,Croatian A1 Liga,PF
2481,29.79572468221357,28.437029030039657,33.101254452085335,33.101254452085335,37.8268642081829,32.45242536492136,2481,Junghyun Lee,SAM,40,24.0,10.3,3.3,9.3,0.352,1.6,5.4,0.298,2.2,2.7,0.821,0.3,2.8,3.0,4.0,0.5,0.1,1.5,2.0,South Korean KBL,SF
473,34.31725385143971,30.132471242744064,32.971969753171074,32.971969753171074,31.56953072878083,32.392639065861346,473,Erkan Yilmaz,EFE,9,25.2,9.6,3.0,6.7,0.45,1.0,3.0,0.333,2.6,3.0,0.852,1.1,4.3,5.4,4.9,1.7,1.0,1.8,2.7,Turkish BSL,SF
231,24.293449064878537,28.55069544169013,36.153724240101255,36.153724240101255,36.76348033766223,32.38301466488669,231,Justin Robinson,TREV,11,24.0,10.3,3.8,8.7,0.438,1.5,4.4,0.354,1.1,1.4,0.8,0.1,1.5,1.5,4.2,0.5,0.0,2.0,1.2,Italian Lega Basket,PG
820,30.18712875082147,31.98060701169103,33.34294564128388,33.34294564128389,32.95676677949527,32.362078764915104,820,Jordan Cohen,IRG,13,24.2,12.2,4.3,9.3,0.463,1.2,3.5,0.348,2.3,2.6,0.882,0.9,2.1,3.0,2.6,0.6,0.2,1.8,2.1,Israeli BSL,PG
739,35.06221029511081,31.51148565742965,32.05766242009101,32.05766242009102,31.112540468871508,32.3603122523188,739,Justas Furmanavicius,GG,12,30.2,13.3,4.4,8.3,0.535,0.8,2.2,0.346,3.8,5.2,0.726,1.3,3.3,4.5,3.3,1.0,1.0,1.3,2.9,Lithuanian LKL,SF
875,34.176605572749004,33.97733021043016,34.051808859883984,34.051808859883984,25.48473568915228,32.34845783841988,875,J.P. Tokoto,IRG,11,24.0,10.5,3.8,8.0,0.477,0.2,0.5,0.4,2.6,4.5,0.58,0.9,3.6,4.5,3.1,1.1,0.1,2.3,2.5,Israeli BSL,SF
747,29.258091583711426,29.819685786609977,33.42569373099925,33.42569373099926,35.69195389360088,32.32422374518416,747,Edvinas Seskus,JJ,18,30.1,9.4,3.7,8.2,0.449,1.3,4.6,0.28,0.8,1.7,0.467,1.1,2.4,3.5,3.9,0.8,0.1,1.7,2.2,Lithuanian LKL,SF
2155,27.76455788226777,29.884123099659078,36.01309529429661,36.01309529429662,31.90740423738604,32.316455161581224,2155,Joaquin Noblega,OLIV,20,25.2,8.0,3.0,7.2,0.417,1.0,2.9,0.328,1.1,1.7,0.618,0.5,2.9,3.4,4.9,1.1,0.1,2.4,2.0,Argentinian Liga A,PF
1323,27.468054700881737,31.381098179142608,36.209797285398814,36.209797285398814,30.244350130927266,32.30261951634985,1323,Troy Green,ALK,14,26.6,8.9,2.9,8.4,0.347,0.4,2.6,0.167,2.6,3.6,0.74,0.2,2.7,2.9,4.0,0.9,0.2,2.7,1.9,Croatian A1 Liga,SG
