,CenterRating,PowerForwardRating,ShootingGuardRating,SmallForwardRating,PointGuardRating,OverallRating,id,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Position
1570,41.65934040417067,43.21731141866342,44.13588142859391,44.13588142859391,46.75783264810611,43.98124946562561,1570,"Derrick Alston, Jr.",ROST,16,28.4,18.0,5.8,13.9,0.419,2.3,5.8,0.387,4.1,4.8,0.868,0.9,2.8,3.7,2.9,1.1,0.2,2.2,2.2,German BBL,C
3,33.68514161714254,39.08369234178023,50.70236165657664,50.702361656576656,45.56008523381242,43.9467285011777,3,Marcelinho Huertas,TEN,21,25.8,14.1,5.5,11.0,0.5,1.1,2.8,0.397,2.0,2.2,0.872,0.6,2.0,2.5,6.6,0.7,0.0,2.6,1.8,Spanish ACB,PG
2512,45.543466843760235,44.00361177129646,44.2053247802339,44.20532478023391,41.71548738185992,43.934643111476895,2512,Sangjae Kang,DON,40,32.3,14.4,5.6,10.4,0.54,1.7,3.9,0.436,1.4,2.0,0.713,1.7,4.4,6.0,4.2,1.0,0.3,2.5,2.4,South Korean KBL,PF
2052,43.12425039009025,40.69671415820619,43.08003094072854,43.08003094072854,49.61458378625699,43.91912204320211,2052,Andre Spight,CAOS,19,30.2,16.8,5.7,13.1,0.438,2.4,6.7,0.352,2.9,4.4,0.675,0.6,3.5,4.1,3.8,1.2,0.1,1.7,1.8,Argentinian Liga A,SG
1145,38.381194082861,43.0007593002523,48.02186158426422,48.02186158426422,42.025926624914625,43.89032063531128,1145,Kenny Dye,MET,20,30.0,15.3,6.0,10.5,0.567,1.1,3.2,0.328,2.3,3.0,0.767,0.7,2.9,3.5,4.5,1.1,0.2,3.0,2.9,Serbian KLS,SG
842,35.74838964228936,42.27012877272414,47.35639987500815,47.35639987500815,46.64501776118701,43.875267185243366,842,Isaiah Whitehead,IRO,14,31.2,14.9,5.1,13.1,0.393,2.1,5.8,0.358,2.5,2.9,0.875,0.4,2.2,2.6,3.9,0.3,0.4,3.0,2.8,Israeli BSL,SG
2564,34.45892058172411,38.64370319041976,48.94658303153197,48.94658303153197,48.26568872258888,43.85229571155934,2564,Tu Holloway,PLAT,29,31.7,16.3,4.6,10.9,0.423,2.0,5.2,0.391,5.0,5.8,0.863,0.7,2.6,3.3,6.6,1.2,0.1,2.7,1.4,Mexican LNBP,PG
1897,43.013672562121116,41.96294792443995,42.22362319752834,42.22362319752834,49.75411100240639,43.83559557680483,1897,Xining He,SHEN,36,34.6,15.9,5.7,13.5,0.425,2.9,7.6,0.382,1.6,1.8,0.892,0.8,3.3,4.1,2.9,1.8,0.3,1.9,2.2,Chinese CBA,PF
1750,40.917675325675035,39.54086373147213,47.21837117933708,47.21837117933708,43.88503784600375,43.75606385236502,1750,ShiYan Gao,SHA,36,35.2,11.6,3.7,9.3,0.396,1.1,4.1,0.279,3.1,3.8,0.816,1.2,4.8,5.9,7.3,1.8,0.0,2.8,3.6,Chinese CBA,PG
430,35.57562236537423,38.09373830740321,48.01801834712515,48.01801834712515,49.00379070484873,43.7418376143753,430,Alexander Perez Kaufmann,DEM,18,32.3,14.4,4.9,11.6,0.421,2.1,5.2,0.394,2.6,3.4,0.758,0.5,2.6,3.1,6.3,1.1,0.2,2.3,2.2,Turkish BSL,SG
1844,40.98817512377965,42.02078381943182,44.404100601954156,44.40410060195417,46.802474585694,43.72392694656276,1844,Lanqin Wang,TONG,17,35.4,13.8,5.1,12.9,0.395,1.8,6.1,0.298,1.7,2.1,0.829,0.8,3.3,4.1,3.8,1.4,0.0,2.4,1.5,Chinese CBA,SF
1842,41.63125971135912,39.729085798315644,42.93477100189062,42.93477100189062,51.31891734335403,43.70976097136201,1842,Zhang Fan,BEIK,37,39.5,15.8,6.0,13.1,0.459,3.0,7.2,0.421,0.8,1.0,0.784,0.6,3.0,3.6,3.8,0.9,0.0,1.5,1.8,Chinese CBA,SF
815,33.63716561729232,39.34368735642275,49.90413919356278,49.90413919356278,45.53422049437579,43.664670371043286,815,Nick Johnson,HAP,2,27.0,16.0,5.0,10.0,0.5,1.5,4.0,0.375,4.5,5.5,0.818,0.5,2.5,3.0,6.5,1.5,1.0,3.0,3.0,Israeli BSL,PG
2511,51.30991818260886,44.099773255072634,38.6411089055195,38.6411089055195,45.612653620966654,43.66091257393743,2511,Jarrod Jones,GOY,9,23.5,14.9,5.8,14.3,0.403,1.7,6.3,0.263,1.7,2.3,0.714,1.2,4.8,6.0,1.8,0.9,0.2,1.4,1.9,South Korean KBL,PF
1390,50.74077954250315,46.90019983235821,42.23287113325196,42.23287113325196,36.0743345478861,43.636211237850276,1390,Domagoj Vukovic,CIB,20,29.6,14.2,5.6,9.5,0.584,0.8,2.3,0.348,2.3,2.9,0.776,2.7,5.4,8.1,3.6,1.4,0.9,2.6,3.1,Croatian A1 Liga,C
1285,36.26307804313336,40.339164999655104,49.06247681693415,49.06247681693415,43.269793890104886,43.599398113352336,1285,Nick Neal,ZAB,14,29.8,14.0,5.1,10.1,0.504,1.4,3.3,0.413,2.5,2.8,0.897,0.3,3.1,3.4,6.0,1.6,0.0,3.0,1.9,Croatian A1 Liga,PG
2098,63.86248715489998,48.64509585055215,34.32657549305464,34.32657549305464,36.81641289142863,43.59542937659801,2098,Agustin Barreiro,OTC,13,31.1,15.7,5.5,11.0,0.497,1.6,4.3,0.375,3.2,4.6,0.683,3.2,7.9,11.1,1.6,0.9,0.2,1.5,2.2,Argentinian Liga A,SF
2649,42.773050734771076,44.40348551737978,45.30653914200739,45.30653914200739,40.123612312739084,43.58264536978095,2649,Donte Clark,SOL,20,30.8,13.8,5.3,11.0,0.477,0.9,3.6,0.239,2.4,3.5,0.686,1.0,4.0,5.0,3.8,1.5,0.2,3.0,2.7,Mexican LNBP,SF
1794,37.49550217013688,39.88680651796297,44.979284174368125,44.979284174368125,50.22318661339252,43.51281273004573,1794,Qian Wu,ZCB,38,31.3,15.7,5.0,11.9,0.424,2.8,7.5,0.38,2.8,3.2,0.876,0.8,2.8,3.6,4.6,1.6,0.1,2.4,2.1,Chinese CBA,SG
1739,41.863479739072815,37.33449423182644,43.8482727819754,43.8482727819754,50.6572158714063,43.510347081251275,1739,Yogi Ferrell,SDS,9,29.2,15.0,5.1,13.2,0.387,1.4,5.4,0.265,3.3,3.8,0.882,1.3,3.2,4.6,5.9,1.2,0.0,1.0,1.9,Chinese CBA,PG
398,37.3043283545194,40.56519791973679,47.00139454337135,47.00139454337135,45.27375226694858,43.42921352558949,398,"Kyle Allman, Jr.",DBI,10,30.3,12.4,3.9,12.7,0.307,1.2,5.3,0.226,3.4,4.2,0.81,0.1,3.4,3.5,5.1,0.5,0.0,3.0,1.5,Turkish BSL,PG
1747,36.82572994748903,37.04312125183685,47.538404270704774,47.538404270704774,47.294501831680385,43.24803231448317,1747,Ray Chen,GFD,39,32.3,12.6,4.3,10.3,0.412,1.6,4.8,0.335,2.5,2.9,0.85,0.4,3.6,3.9,7.1,1.3,0.0,2.4,3.4,Chinese CBA,PG
1898,55.88334919005096,46.37247962483356,39.182186675479045,39.182186675479045,35.57446309824328,43.23893305281718,1898,T.J. Leaf,BSD,37,24.3,15.4,6.4,11.4,0.567,0.5,1.3,0.375,2.1,2.8,0.724,2.4,5.8,8.2,2.6,0.7,1.0,1.5,1.7,Chinese CBA,PF
1286,31.794030655836025,41.77591471380705,47.89868035432343,47.898680354323425,46.70965596407953,43.215392408473896,1286,Toni Jelenkovic,BOS,14,27.4,13.9,4.7,11.1,0.426,2.9,7.0,0.418,1.6,2.0,0.786,0.4,2.0,2.4,4.2,1.2,0.3,3.7,2.1,Croatian A1 Liga,PG
1728,42.42878938743676,42.57371692366864,40.519347509567346,40.519347509567346,49.90959141200638,43.1901585484493,1728,Shuai Yuan,SZD,35,38.1,20.7,6.8,13.8,0.492,3.2,7.9,0.403,3.9,4.3,0.894,1.1,2.4,3.5,1.5,0.7,0.0,1.6,2.5,Chinese CBA,PG
1730,39.11426054438777,39.83889822554719,44.15245333974778,44.15245333974778,48.623998055194946,43.17641270092509,1730,Kyle Fogg,LIA,39,23.9,19.4,5.4,12.7,0.421,2.3,6.3,0.36,6.4,7.5,0.857,0.7,2.8,3.5,4.2,1.7,0.4,2.0,3.1,Chinese CBA,PG
1606,45.46419347994674,41.714193479946736,41.81660162294575,41.81660162294575,43.432455281482326,42.84880909745346,1606,Trey Kell,ADE,25,29.3,17.1,5.1,12.1,0.419,1.6,5.1,0.307,5.4,6.7,0.798,0.7,4.6,5.2,3.6,1.1,0.0,2.1,1.9,Australian NBL,PG
